Time,Velocity,Acceleration,Altitude,Thrust
2.3,40.49724553,15.5351376,16.01671919,14.5
2.31,40.65234476,15.50992322,16.15549316,14.5
2.32,40.80719142,15.48466615,16.29479717,14.5
2.33,40.96178509,15.45936664,16.43463036,14.5
2.34,41.11612534,15.43402496,16.57499185,14.5
2.35,41.27021175,15.40864136,16.71588079,14.5
2.36,41.42404391,15.38321608,16.85729629,14.5
2.37,41.57762141,15.3577494,16.9992375,14.5
2.38,41.73094382,15.33224156,17.14170354,14.5
2.39,41.88401075,15.30669282,17.28469353,14.5
2.4,42.03682179,15.28110344,17.42820661,14.5
2.41,42.18937652,15.25547368,17.57224189,14.5
2.42,42.34167456,15.22980378,17.7167985,14.5
2.43,42.4937155,15.20409401,17.86187556,14.5
2.44,42.64549895,15.17834462,18.00747219,14.5
2.45,42.79702451,15.15255588,18.15358751,14.5
2.46,42.94829179,15.12672803,18.30022064,14.5
2.47,43.0993004,15.10086134,18.44737069,14.5
2.48,43.25004996,15.07495607,18.59503677,14.5
2.49,43.40054008,15.04901246,18.74321801,14.5
2.5,43.55071242,15.01723315,18.89191341,14.5
2.51,43.70052794,14.98155237,19.04112182,14.5
2.52,43.84998632,14.94583812,19.19084202,14.5
2.53,43.99908723,14.91009078,19.34107278,14.5
2.54,44.14783034,14.87431068,19.49181289,14.5
2.55,44.29621532,14.83849818,19.64306111,14.5
2.56,44.44424185,14.80265362,19.79481623,14.5
2.57,44.59190963,14.76677735,19.94707702,14.5
2.58,44.73921832,14.73086973,20.09984224,14.5
2.59,44.88616763,14.69493109,20.25311068,14.5
2.6,45.03275725,14.65896179,20.4068811,14.5
2.61,45.17898687,14.62296218,20.56115227,14.5
2.62,45.3248562,14.5869326,20.71592295,14.5
2.63,45.47036493,14.55087339,20.87119193,14.5
2.64,45.61551278,14.51478491,21.02695795,14.5
2.65,45.76029946,14.4786675,21.18321979,14.5
2.66,45.90472467,14.4425215,21.33997622,14.5
2.67,46.04878815,14.40634726,21.49722598,14.5
2.68,46.1924896,14.37014512,21.65496786,14.5
2.69,46.33582875,14.33391543,21.8132006,14.5
2.7,46.47880534,14.29765852,21.97192298,14.5
2.71,46.62141908,14.26137475,22.13113374,14.5
2.72,46.76366973,14.22506445,22.29083164,14.5
2.73,46.90555701,14.18872796,22.45101546,14.5
2.74,47.04708066,14.15236563,22.61168393,14.5
2.75,47.18824044,14.11597779,22.77283582,14.5
2.76,47.32903609,14.07956479,22.93446988,14.5
2.77,47.46965234,14.06162523,23.09658519,14.5
2.78,47.61016816,14.05158174,23.25918126,14.5
2.79,47.75058317,14.04150056,23.42225774,14.5
2.8,47.89089698,14.03138179,23.58581431,14.5
2.81,48.03110924,14.02122553,23.7498506,14.5
2.82,48.17121956,14.01103189,23.91436627,14.5
2.83,48.31122757,14.00080097,24.07936097,14.5
2.84,48.4511329,13.99053286,24.24483436,14.5
2.85,48.59093517,13.98022769,24.41078607,14.5
2.86,48.73063403,13.96988553,24.57721575,14.5
2.87,48.87022909,13.95950651,24.74412306,14.5
2.88,49.00972,13.94909073,24.91150763,14.5
2.89,49.14910638,13.93863828,25.07936911,14.5
2.9,49.28838788,13.92814928,25.24770714,14.5
2.91,49.42756411,13.91762383,25.41652136,14.5
2.92,49.56663474,13.90706203,25.58581141,14.5
2.93,49.70559938,13.896464,25.75557693,14.5
2.94,49.84445767,13.88582983,25.92581755,14.5
2.95,49.98320927,13.87515964,26.09653291,14.5
2.96,50.12185381,13.86445353,26.26772265,14.5
2.97,50.26039092,13.8537116,26.4393864,14.5
2.98,50.39882026,13.84293398,26.61152379,14.5
2.99,50.53714147,13.83212076,26.78413445,14.5
3,50.67535419,13.82127205,26.95721801,14.5
3.01,50.81345807,13.81038797,27.1307741,14.5
3.02,50.95145275,13.79946862,27.30480235,14.5
3.03,51.0893379,13.78851411,27.47930238,14.5
3.04,51.22711314,13.77752455,27.65427382,14.5
3.05,51.36477814,13.76650005,27.82971628,14.5
3.06,51.50233255,13.75544073,28.0056294,14.5
3.07,51.63977602,13.74434668,28.1820128,14.5
3.08,51.7771082,13.73321804,28.35886609,14.5
3.09,51.91432875,13.72205489,28.53618889,14.5
3.1,52.05143732,13.71085737,28.71398082,14.5
